"ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1.1","ireland_4.t3q18b2.1","ireland_4.t3q18b3.1","ireland_4.t3q18b4.1","ireland_4.t3q18b5.1","ireland_4.t3q18bnu.1","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
"111","More choice","Funding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Funding - lack of","Funding - Cost too high","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"People are taught around their faith","No other I can think of","NA","NA","NA",2,"The ability to mix better","Get to find out about each others belief systems","Be part of a bigger society","NA","NA",3,"Mix together, can live together","Tolerate eachother","Mutual understanding","NA","NA",3,"NA","NA","NA","NA","NA",0,"Mix reguardless of age","Help with uinderstanding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"The inability of a child to decide it's future at a younger age","NA","NA","NA","NA",1,"Gives them time to grow up sowly","When they are 14 they can travel by themselves","NA","NA","NA",2,"They don't like change","Want hings to stay as they are and no upset","NA","NA","NA",2,"Big diference between a 7 year old & 14 year old","Might be bullying","NA","NA","NA",2
"112","That everything is available under one roof","That it is easier to manage with friends going to the one org","NA","NA","NA",2,"Loss of higher type of schools (grammar schools)","Status issue","NA","NA","NA",2,"Too many pupils - become a number not person","Individual needs always met","Coldness","NA","NA",3,"Loss of higher type of schools (grammar schools)","Status issue","NA","NA","NA",2,"Same cultural background","Commonality","NA","NA","NA",2,"Don't like the idea of mixing","Mixing would be a dilution of the main communities","NA","NA","NA",2,"Give for better adaption into wider society","Gain understanding of people from other backgrounds","Develoops tolerance","Nurtures diversity","NA",4,"Develop a tolerance of the other religion","NA","NA","NA","NA",1,"Bring a social aspect into learning","Large/diverse range of ideas. When including differing cultural backgrounds","Gain more life experience/richness develops","NA","NA",3,"Social skills in employment social development","NA","NA","NA","NA",1,"Cause disruption","Time consuming","Problem regarding who goes to where","Conflict/safety issues","NA",4,"Not want to mi","NA","NA","NA","NA",1,"Gives younger children more diversity/challenge","Children are adoptable and more susceptable to learning new ideas","Allows children proper knowedge of different subjects/materials, more able to make an informed decision","NA","NA",3,"Children are adoptive so can adopt to change easier","NA","NA","NA","NA",1,"Too young - making them grow up too fast","Bullying aspect, safety issues","NA","NA","NA",2,"Children are too young to be changing schools","Loosing rural primary schools","NA","NA","NA",2
"113","All needs are catered for","Children can go to same school as friends","Less competition","NA","NA",3,"Not fair n the kids who need more attention","NA","NA","NA","NA",1,"Too large a school","More likely to have bullying, alcohol and drug problems","NA","NA","NA",2,"Not fair n the kids who need more attention","NA","NA","NA","NA",1,"Depends on area we live in","Better uinderstanding of family & moral values","NA","NA","NA",2,"To maintain their heritage","NA","NA","NA","NA",1,"More tolerance & understanding","First hand experience that we are all the same","NA","NA","NA",2,"To give a more peaceful future","Children will understand them better","NA","NA","NA",2,"What is the point if they don't mix","Better tolerance and understanding of eachothers differences","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Maintain their identity","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Making decisions at a better age","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Having to change school more often","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
"114","To have the system of all-ability to suit not having to go to different schools","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Children losing their identity","What way they were brought up","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"I think a lot would agree","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"So they learn the same about different religions","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Because of the way parents feel","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"115","Choice","Equality","Changes","Economy","Flexibility",5,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Better community relations","Equality","Children being seen all as one","Bounding & building community","Development & mixing of relations for community and world",5,"NA","NA","NA","NA","NA",NA,"Equality","Mixing","Building of communities","NA","NA",3,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Can't think of any reasons","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Can't think of any reasons","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA
"116","Choice","Ability over wide range of subjects can be monitored over a period of time","Past experience","NA","NA",3,"Opposed to change","NA","NA","NA","NA",1,"Culture","Religion","Travel arrangements","Size","Ethos",5,"Opposed to change","NA","NA","NA","NA",1,"Past experience","Culture","Area of NI","NA","NA",3,"High religious background","NA","NA","NA","NA",1,"Way forward","Change in thinking","Culture change - ethnic groups","Demographics","NA",4,"It may work","NA","NA","NA","NA",1,"Way forward","Togetherness","NA","NA","NA",2,"Board of governors have agreed to it, don't have a choice","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Set in their ways","NA","NA","NA","NA",1,"No need to change schools","More money - bums on seats older pupils pay more","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Ready to move on","Need to develop outside their environment","NA","NA","NA",2,"At 11, children are mature enough to move on","NA","NA","NA","NA",1
"117","Improves self-esteem - no longer ability classes/stigma","Improves/motivates weaker children","Improves social skills","NA","NA",3,"NA","NA","NA","NA","NA",NA,"More able children not strained","Teahers place more emphasis/time on weaker children","More able children loose interest/motivation","NA","NA",3,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Interaction promotes good relations/dispels fear/myths","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Fear of influence of other views","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"118","It's in the best interest of the children","It promotes mutual understanding","It offers more choice for children","NA","NA",3,"NA","NA","NA","NA","NA",0,"Fear","Ignorance","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Fear","Ignorance","Loss of identity","NA","NA",3,"Able to retain identity","NA","NA","NA","NA",1,"Promotes mutual understanding & respect for eachother","Eventually in generations to come, society will be changed for the better","Children are our future investment","Segregation & separation is not normal","NA",4,"Balanced, would be an advantage and bring community together","NA","NA","NA","NA",1,"Promoting understanding & respect for eachother's religion","Essential for learning social skills","NA","NA","NA",2,"Can't remember","Cannot think of anything","NA","NA","NA",2,"Fear of change","Ignorance or eachother's culture/beliefs/religion","Loss of identity within society","Sectarianism","NA",4,"NA","NA","NA","NA","NA",0,"Children are not ready at 11 yrs to decide future","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"119","Pupils would have access to all subjects in their choice of school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Resembles comprehensive system which does not work as well","Logistically difficult to implement","Pressure on staff","NA","NA",3,"NA","NA","NA","NA","NA",NA,"It is the traditional way and has worked until now","We want our children to have the best religious instruction","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Prepares children for uni and the workpolace","Furthers integration of our society","Children experience other culture and religions","NA","NA",3,"NA","NA","NA","NA","NA",NA,"There is little point in partnerships if real interaction does not occur","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Need to share facilities or resources - no need to integrate pupils","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"No upheaval of changinf schools at 11","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Different ages require different needs","Too diverse a rango of pupils to work","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"120","NA","NA","NA","NA","NA",0,"Some people don’t want to change","Don't want to move on","Keep things the way they are","NA","NA",3,"NA","NA","NA","NA","NA",0,"Some people don’t want to change","Don't want to move on","Keep things the way they are","NA","NA",3,"Don't want to integrate","NA","NA","NA","NA",1,"Don’t want to mix other religions","NA","NA","NA","NA",1,"Would let children get to know the culture","NA","NA","NA","NA",1,"Move on. Get out and move on","Want to get everyone to mix more","NA","NA","NA",2,"To get to know the other better","NA","NA","NA","NA",1,"More mixing - getting everyone together","NA","NA","NA","NA",1,"Don't like integration","NA","NA","NA","NA",1,"Don't want to mix","NA","NA","NA","NA",1,"More mature in this age gap","NA","NA","NA","NA",1,"It would sut some people","Older leaving junior school","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Keep it the way it is","NA","NA","NA","NA",1
"121","Social integration","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Some may think that it could have an impact on certain abilities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Cultural","Tradition","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Social integration","To stop segregation","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Social integration","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Possibility of having to move schoolmore than twice","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA
"122","Saves decision being made at age of 11","All children treated equally","Children can be asessed in an ongoing way in all areas of curriculum","NA","NA",3,"Not familiar","Used to tradition","Grammar school education superior","NA","NA",3,"Stick with tradition","My child will be mixed with children of all abilities","I went through it and turned out OK","NA","NA",3,"Not familiar","Used to tradition","Grammar school education superior","NA","NA",3,"To reinforce their Christian/religious beliefs","To shelter their child from opposing or dfferent faiths","To make friends with similar children/sides of the community","Social standing","NA",4,"Their own experience","What they know","Their own religious upbringing","Fear of change","Mixed relationship",5,"To encourage mutual understanding and respect","Mixed Marriages/partners - it can be an easier and preferred option","Encourages friendships from both sides of the community","Pleases' the grandparents","NA",4,"Fear of change","NA","NA","NA","NA",1,"Learning is a shared experience & should embrace a mixed religious base","It's a positive way to facilitate integrated learning","Encourage collaborative working between teachers","NA","NA",3,"Practical","Cost effective","their childs education comes first","NA","NA",3,"Might feel threatened and not want their child to be exposed to change","Not something they feel comfortable with","NA","NA","NA",2,"Not exposing their children to other religions","Ignorance","Genuine concerns","NA","NA",3,"Save stress of transfer selection","Children's self-esteem maintained","NA","NA","NA",2,"Save a formal decision made for 11 year olds","Geographical reasons, closer to home","14 is time enough to make decisions","NA","NA",3,"Why change?","It's not broken so why fix it?","NA","NA","NA",2,"Fear of bullying","Afraid of how the school can meet their needs","Other methods more approriate","NA","NA",3
"123","Facilitate wider choice under the same roof","Appropriate for children attending schools","Each school will be having exact same rights and duties","Easy for management if same route for all applies","The parents would know what exactly is on offer",5,"Not oppposed","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Not oppposed","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To get religious education","NA","NA","NA","NA",1,"The children grow to understand eachother from early stage","The wider groups the better the knowledge","To narrow the much divided csociety currently","To highlight that we are human first before part of any religious group","To enable change for the future",5,"Children learn about other religions","Mix better","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"To get together","Promote better understanding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Religious groups should be seperated","Teacher would have a job controlling the class","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"People thought 14 was a better age to sit exams than 11","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Mixing 7-14. 7 too young to mix with teenagers","NA","NA","NA","NA",1
"124","Economic reasons combining schools","NA","NA","NA","NA",1,"Well I don't see how it would work, not really sure","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Well I don't see how it would work, not really sure","NA","NA","NA","NA",1,"Might be looked down upon for doing so","NA","NA","NA","NA",1,"Their belief, want them to be brought up as Catholics or Protestants","NA","NA","NA","NA",1,"Want to accept people for who they are","NA","NA","NA","NA",1,"Open minded for the future","Children mix - learn about eachother","Show both communities that they are no different","NA","NA",3,"If it was a religious class it might go against their concientious beliefs","NA","NA","NA","NA",1,"Gives pupils more choice","Nothing else, can't think","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Boils down to their views on religious grounds. Some don't want mixing","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Quite young with each other, Don't know","Only seven years of a difference","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
